Author,Geographic Location,Century(s) of Author Lifetime\Birth-Death Dates,Work Title,Date Range of Work,URN,Genre,Notes
Aelius Herodianus,"Alexandria, Egypt",200 CE,Συμπόσιον,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg030.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Προτάσεις,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg031.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Εἰς τὴν Ἀπολλωνίου εἰσαγωγήν,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg032.1st1K-grc1,Grammatical texts,
Aelius Herodianus,"Alexandria, Egypt",200 CE,Περὶ μονήρους λέξεως,150 CE-200 CE,urn:cts:greekLit:tlg0087.tlg033.1st1K-grc1,Grammatical texts,
Aeschylus,"Athens, Greece",500 BCE,Suppliant Women,463 BCE,urn:cts:greekLit:tlg0085.tlg001.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Persians,472 BCE,urn:cts:greekLit:tlg0085.tlg002.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Prometheus Bound,480 BCE-410 BCE,urn:cts:greekLit:tlg0085.tlg003.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Seven Against Thebes,467 BCE,urn:cts:greekLit:tlg0085.tlg004.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Agamemnon,460 BCE-455 BCE,urn:cts:greekLit:tlg0085.tlg005.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Libation Bearers,460 BCE-455 BCE,urn:cts:greekLit:tlg0085.tlg006.opp-grc3,Tragic Poetry,
Aeschylus,"Athens, Greece",500 BCE,Eumenides,460 BCE-455 BCE,urn:cts:greekLit:tlg0085.tlg007.opp-grc3,Tragic Poetry,
Aesop,Greece ,600 BCE-500 BCE,Fabulae,600 BCE-500 BCE,urn:cts:greekLit:tlg0096.tlg002.First1K-grc1,Mythography,"Multiple more specific attributions to place of origin: Thrace, Lydia, Phrygia"
Agatharchides,"Yazıköy, Turkey",200 BCE-100 BCE,De Rubro Mari,200 BCE-100 BCE,urn:cts:greekLit:tlg0067.tlg001.1st1K-grc1,Geographical texts,
Agathias Scholasticus,"Aliaga, Turkey/Alexandria, Egypt/Istanbul, Turkey",600 CE,Historiae,565 CE-578 CE,urn:cts:greekLit:tlg4024.tlg001.opp-grc2,Historical Texts,"Myrina, Aeolis, Asia Minor
"
Agathias Scholasticus,"Aliaga, Turkey/Alexandria, Egypt/Istanbul, Turkey",600 CE,Epigrammata,565 CE-578 CE,urn:cts:greekLit:tlg4024.tlg002.opp-grc12,Greek Poetry,"Myrina, Aeolis, Asia Minor
"
Alcidamas,"Zeytindağ, Turkey",500 BCE-400 BCE,Peri Sophiston,390 BCE-365 BCE,urn:cts:greekLit:tlg0610.perseus002.perseus-grc1,Orations\Rhetoric,"Aelea, Aeolis, Asia Minor"
Alcidamas,"Zeytindağ, Turkey",500 BCE-400 BCE,Odysseus,390 BCE-365 BCE,urn:cts:greekLit:tlg0610.tlg001.opp-grc1,Orations\Rhetoric,"Aelea, Aeolis, Asia Minor"
Alciphron,Greece ,200 CE-300 CE,Epistulae ,150 CE-220 CE,urn:cts:greekLit:tlg0640.tlg001.First1K-grc1.xml,Epistles,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,De Mixtione,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg001.1st1K-grc1,Philosophy\Commentaries,"Aphrodisias, Caria; Geyre, Aydın Province, Turkey"
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,In Aristotelis Metaphysica Commentaria,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg004.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,In Aristotelis Analyticorum Priorum Librum I Commentarium,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg005.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,In Aristotelis Topicorum Libros Octo Commentaria,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg006.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,In Librum De Sensu Commentarium,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg007.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,In Aristotelis Metereologicorum Libros Commentarium,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg008.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,De Anima,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg010.1st1K-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,De anima libri mantissa,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg011.1st1K-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,Quaestiones \ De Quaestionibus,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg012.opp-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,Ἀπορίαι καὶ λύσεις [Sp.],198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg012.1st1K-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,Ἠθικὰ προβλήματα [Sp.],198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg013.1st1K-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,De Fato,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlg014.1st1K-grc1,Philosophy\Commentaries,
Alexander Of Aphrodisias,"Athens, Greece",200 CE-300 CE,Quod Fertur In Aristotelis Sophisticos Elenchos Commentarium,198 CE-230 CE,urn:cts:greekLit:tlg0732.tlgX01.opp-grc1,Philosophy\Commentaries,
Alypius,Greece ,300 CE-400 CE,Isagoge musica,340 CE-400 CE,urn:cts:greekLit:tlg2135.tlg001.1st1K-grc1,Musical theory,
Ammonius,"Alexandria, Egypt",500 CE-600 CE,In Porphyrii Isagogen Sive Quinque Voces,460 CE-510 CE,urn:cts:greekLit:tlg4016.tlg001.opp-grc2,Philosophy\Commentaries,
Ammonius,"Alexandria, Egypt",500 CE-600 CE,In Aristotelis Categorias Commentarius,460 CE-510 CE,urn:cts:greekLit:tlg4016.tlg002.opp-grc2,Philosophy\Commentaries,
Ammonius,"Alexandria, Egypt",500 CE-600 CE,In Aristotelis Librum De Interpretatione Commentarius,460 CE-510 CE,urn:cts:greekLit:tlg4016.tlg003.opp-grc2,Philosophy\Commentaries,
Ammonius,"Alexandria, Egypt",500 CE-600 CE,In Aristotelis Analyticorum Priorum Librum I Commentarium,460 CE-510 CE,urn:cts:greekLit:tlg4016.tlg004.opp-grc2,Philosophy\Commentaries,
Ammonius Grammaticus,Uncertain,100 CE-200 CE,De adfinium vocabulorum differentia,100 CE-200 CE,urn:cts:greekLit:tlg0708.tlg001.1st1K-grc1,Grammatical texts,"Work by  spurious author,"
Anna Comnena,"Istanbul, Turkey",1100 CE-1200 CE,Alexias,1138 CE-1153 CE,urn:cts:greekLit:tlg2703.tlg001.opp-grc1,Biographical texts,Constantinople
Anna Comnena,"Istanbul, Turkey",1100 CE-1200 CE,Alexias,1138 CE-1153 CE,urn:cts:greekLit:tlg2703.tlg001.opp-grc2,Biographical texts,
Anna Comnena,"Istanbul, Turkey",1100 CE-1200 CE,Alexias,1138 CE-1153 CE,urn:cts:greekLit:tlg2703.tlg001.opp-lat1,Biographical texts,
Anonymi Exegesis in Hesiodi Theogoniam,Uncertain,1500 CE,Exegesis in Hesiodi theogoniam,1500 CE,urn:cts:greekLit:tlg3156.tlg001.1st1K-grc1,Commentaries,Date taken from TLG
Anonymi In Aristotelis Categorias,Greece?,Uncertain,Paraphrasis categoriarum,Uncertain,urn:cts:greekLit:tlg4027.tlg001.opp-grc1,Commentaries,
Anonymi In Aristotelis Ethica Nicomachea,Uncertain,200 CE,"In ethica Nicomachea paraphrasis (pseudepigraphum olim a Constantino Palaeocappa confectum et olim sub 
auctore Heliodoro Prusensi vel Andronico Rhodio vel Olympiodoro) ",150 CE-200 CE,urn:cts:greekLit:tlg4033.tlg003.opp-grc1,Commentaries,"From Brill's New Pauly: ""The preserved texts consist of two incomplete commentaries on ‘the Nicomachean Ethics’ from the middle of the 2nd cent., one of them anonymous, the other by Aspasius"""
Anonymi In Aristotelis Librum Alterum Analyticorum Posteriorum,Uncertain,50 BCE- 200 CE,Anonymi in analyticorum posteriorum librum alterum commentarium,50 BCE-200 CE,urn:cts:greekLit:tlg9004.tlg001.opp-grc1,Commentaries,"From Brill's New Pauly: ""as well as commentaries on the Analytica priora..."""
Anonymi in Aristotelis Sophisticos Elenchos,Uncertain,Uncertain,In Aristotelis sophisticos elenchos paraphrasis ,Uncertain,urn:cts:greekLit:tlg4193.tlg012.opp-grc1,Commentaries,
Anonymous,"Rome, Italy?",200 CE-300 CE,Stadiasmus Magni Maris,235 CE,urn:cts:greekLit:tlg0077.tlg001.1st1K-grc1,Geographical texts,https:\\www.topoi.org\event\29890\
Anonymous,Uncertain,Uncertain,Geographiae expositio compendiaria,Uncertain,urn:cts:greekLit:tlg0092.tlg001.1st1K-grc1,Geographical texts,
Anonymous,Uncertain,Uncertain,Anonymi summaria ratio geographiae in sphaera intelligendae,past 200 CE,urn:cts:greekLit:tlg2029.tlg001.1st1K-grc1,Geographical texts,Date taken from TLG
Anonymous,Uncertain,Uncertain,Anametresis Pontou,Uncertain,ggm0001.ggm001.1st1K-grc1.xml,Geographical texts,
Anonymous,Egypt\Syria\Palestine,100 CE-200 CE,Didache XII Apostolorum,100 CE-200 CE,urn:cts:greekLit:tlg1311.tlg001.1st1K-grc1,Ecclesiastical texts,"Date taken from TLG, but from Brill: ""It is generally agreed to date to the early 2nd cent., but this, like 
its origin ─ in Syria\Palestine, possibly Egypt ─ is contested."""
Anonymous,Uncertain,Uncertain,Paraphrases in Dioynsium Periegetam,Uncertain,urn:cts:greekLit:tlg4174.tlg001.1st1K-grc1,Geographical texts\Commentaries,
Anonymous,Uncertain,Uncertain,Scholia in Dionysium Periegetam,Uncertain,urn:cts:greekLit:tlg5019.tlg001.1st1K-grc1,Geographical texts\Scholia,
Antisthenes,"Athens, Greece",500 BCE-400 BCE,Αιας\Ajax,410 BCE-365 BCE, urn:cts:greekLit:tlg0591.1st1K001.1st1K-grc1,Orations\Rhetoric,
Antisthenes,"Athens, Greece",500 BCE-400 BCE,Οδυσσευς\Odysseus,410 BCE-365 BCE,urn:cts:greekLit:tlg0591.1st1K002.1st1K-grc1,Orations\Rhetoric,
Anubion,Egypt,100 CE,Fragmenta,0 CE-100 CE,urn:cts:greekLit:tlg1126.tlg003.1st1K-grc1,Astronomy,
"Apollonius, Dyscolus","Alexandria, Egypt",200 CE,De pronominibus,100 CE-150 CE,urn:cts:greekLit:tlg0082.tlg001.1st1K-grc1.xml,Grammatical texts,"From Brill's New Pauly: ""One of the most significant of the Greek  grammarians, living in the early 2nd cent. AD."""
"Apollonius, Dyscolus","Alexandria, Egypt",200 CE,De adverbiis,100 CE-150 CE,urn:cts:greekLit:tlg0082.tlg002.1st1K-grc1.xml,Grammatical texts,
"Apollonius, Dyscolus","Alexandria, Egypt",200 CE,De Constructione,100 CE-150 CE,urn:cts:greekLit:tlg0082.tlg004.1st1K-grc1.xml,Grammatical texts,
Aristarchus of Samothrace,"Samos, Greece",310 BCE-230 BCE,De magnitudinibus et distantiis solis et lunae,280 BCE-230 BCE,urn:cts:greekLit:tlg1181.tlg001.1st1K-grc1.xml,Astronomy\ Mathematical Texts,Not yet in First1K repository
Aristotle,"Athens, Greece",384 BCE-322 BCE,De Spiritu,340 BCE-323 BCE,urn:cts:greekLit:stoa0033a.tlg043.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Analytica Priora,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg001.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Analytica Priora et Posteriora,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg001.1st1K-grc2.xml,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De Anima,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg002.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De anima,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg002.1st1K-grc2,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De Caelo,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg005.1st1K-grc1,Natural history,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Categoriae,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg006.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De divinatione per somnum,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg008.1st1K-grc1,Dream Interpretation,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De generatione et Corruptione,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg013.1st1K-grc1 urn:cts:greekLit:tlg0086.tlg013.1st1K-grc2,Natural history,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Historia Animalium,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg014.1st1K-grc1,Natural history,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De insomniis,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg016.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De interpretatione,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg017.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,"De iuventute et senectute, De vita et morte",340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg018.1st1K-grc1,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De longitudine et brevitate vitae,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg020.1st1K-grc1,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De memoria et reminiscentia,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg024.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Meteorologica,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg026.1st1K-grc1 urn:cts:greekLit:tlg0086.tlg026.1st1K-grc2,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De partibus animalium,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg030.1st1K-grc1,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Physica,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg031.1st1K-grc1,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Ars Poetica,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg034.1st1K-grc1,Rhetoric\Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De Respiratione,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg037.1st1K-grc1,Philosophy\Natural History,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De sophisticis elenchis,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg040.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De sensu et sensibilibus,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg041.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De somno et vigilia,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg042.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Topica,340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg044.1st1K-grc1,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,De anima (codicis E fragmenta recensionis a vulgata diversae),340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg052.1st1K-grc,Philosophy,
Aristotle,"Athens, Greece",384 BCE-322 BCE,Physica (textus alter),340 BCE-323 BCE,urn:cts:greekLit:tlg0086.tlg054.1st1K-grc1,Philosophy\Natural History,
Aristoxenus,"Athens, Greece",354 BCE-300 BCE,Elementa Harmonica,354 BCE-300 BCE,urn:cts:greekLit:tlg0088.tlg001.1st1K-grc1,Musical theory,
Artermidorus,Turkey,100 CE-200 CE,Onirocriticon,100 CE-200 CE,urn:cts:greekLit:tlg0553.tlg001.1st1K-grc1.xml,Dream Interpretation,"Daldis, Lydia, Asia Minor"
Asclepius of Tralles,"Aydın, Turkey",600 CE,In Aristotelis Metaphysicorum Libros A-Z Commentaria,500 CE-600 CE,urn:cts:greekLit:tlg4018.tlg001.opp-grc2,Philosophy\Commentaries,Tralles
Aspasius,Uncertain,200 CE,In Ethica Nichomachea Commentaria,100 CE-150 CE,urn:cts:greekLit:tlg0615.tlg001.opp-grc1,Philosophy\Commentaries,
Athanasius  of Alexandria,"Alexandria, Egypt",400 CE,De decretis Nicaenae synodi  (Chapters 41 and 42),325 CE, urn:cts:greekLit:tlg2035.tlg003.opp-grc1,Theology,
Athanasius  of Alexandria,"Alexandria, Egypt",400 CE,De decretis Nicaenae synodi  (Chapters 41 and 42),325 CE,urn:cts:greekLit:tlg2035.tlg003.opp-lat1,Theology,
Athenagoras,"Athens, Greece",200 CE,Legatio sive Supplicatio pro Christianis ,176 CE-180 CE,urn:cts:greekLit:tlg1205.tlg001.perseus-grc1,Theology\Apologias,Date comes from Brill's New Pauly
Athenagoras,"Athens, Greece",200 CE,Legatio sive Supplicatio pro Christianis ,176 CE-180 CE,urn:cts:greekLit:tlg1205.tlg001.perseus-grc2,Theology\Apologias,
Athenagoras,"Athens, Greece",200 CE,Supplication pro Christianis,176 CE-180 CE,urn:cts:greekLit:tlg1205.tlg002.perseus-grc1,Theology\Apologias,
Athenagoras,"Athens, Greece",200 CE,Supplication pro Christianis,176 CE-180 CE,urn:cts:greekLit:tlg1205.tlg002.perseus-grc2,Theology\Apologias,
Autolycus," Çandarlı, Turkey",360 BCE-290 BCE,De Sphaera Quae Movetur,335 BCE-300 BCE,urn:cts:greekLit:tlg1210.tlg001.1st1K-grc1,Astronomy,"Pitane, Aeolis, Ionia, Asia Minor"
Autolycus," Çandarlı, Turkey",360 BCE-290 BCE,De Ortibus et Occasibus,335 BCE-300 BCE,urn:cts:greekLit:tlg1210.tlg002.1st1K-grc1,Astronomy\ Mathematical Texts,"Pitane, Aeolis, Ionia, Asia Minor"
Babrius,Syria?,200 CE,Fabulae Aesopicae,200 CE,urn:cts:greekLit:tlg0614.tlg001.1st1K-grc1,Mythology,
Bacchius Geron,Greece?,300 CE-400 CE,Isagoge artis musicae,300 CE-400 CE,urn:cts:greekLit:tlg2136.tlg001.1st1K-grc1,Musical theory,"Date taken from TLG, but some debate regarding this in Brill: ""Author of an Eisagōgè téchnēs mousikês (Εἰσαγωγὴ τέχνης μουσικῆς) in the format of questions and answers, written perhaps as late as the 10th cent"""
Barnabas Epistulae (Anonymous),Egypt\Asia Minor\Syria,50 CE-200 CE,Barnabae Epistulae,100 CE-200 CE,urn:cts:greekLit:tlg1216.tlg001.opp-grc1,Ecclesiastical texts,"From Brill's New Pauly: ""Perhaps the writing should be dated post-AD 130. The place of origin remains unclear (Egypt, Asia Minor, or Syria?)."""
Batrachomyomachia (Anonymous),Greece?,300 BCE-0 BCE,Batrachomyomachia,300 BCE-0 BCE,urn:cts:greekLit:tlg1220.tlg001.1st1K-grc1,Parodies\Homerica,
Canticum Euripidis (Anonymous),Greece ,300 BCE,Ex Orestis Stasimo I,300 BCE,urn:cts:greekLit:tlg2138.tlg001.opp-grc1,Musical theory,Date taken from TLG
Carmina Delphis Inventa (Anonymous),Greece ,100 CE-200 CE,Carmina Delphis Inventa,100 CE-200 CE,urn:cts:greekLit:tlg0362.tlg001.opp-grc1,Musical Theory\Greek Lyric Poetry,Date taken from TLG
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in Matthaeum (catena integra) (e cod. Paris. Coislin. gr. 23),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg001.opp-grc1,Catenae\Biblical Commentaries,"Date taken from TLG ""Post 500 AD)"
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in Marcum (recensio ii) (e codd. Oxon. Bodl. Laud. 33 + Paris. Coislin. 23 + Paris. gr. 178),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg002.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Supplementum et varietas lectionis ad commentarium Chrysostomi in evangelium sancti Matthaei (e cod. Oxon. Bodl. Auct. T.1.4),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg003.opp-grc1,Catenae\Biblical Commentaries,
Catenae Novum Testamentum,Greece?,500 CE-600 CE,Catena in Lucam (typus B) (e codd. Paris. Coislin. 23 + Oxon. Bodl. Misc. 182),500 CE-600 CE,urn:cts:greekLit:tlg4102.tlg004.opp-grc1,Catenae\Biblical Commentaries,
